,LEC,5341701801,7830471152,5618250778,3056571053,5606164096,4900219897
,MEC,2576770345,3628376490,2575731103,377361465.5,773049991.8,1282619658
,Sum ,2288575765,3311805677,2368202856,992466045.9,1843703494,1786947848
,Neuron ID,LI,LII,LIII,LIV,LV,LVI
EC LI-II Multipolar-Pyramidal,6094,,8102.359437,4272.785813,,,
,,8422.779718,6252.433668,,,,
EC LI-II Pyramidal-Fan,6005,3196.603591,1578.496662,1956.499373,,,
,,1273.09983,2086.736693,,,,
MEC LII-III Pyramidal-Multiform,6008,,1574.815825,3688.201361,744.9685774,1969.385061,890.203144
,,1488.257813,1297.92377,2210.298257,,,
MEC LII Oblique Pyramidal,6019,,,1226.439801,1537.705683,,
,,996.2832408,2607.753743,,,,
MEC LII Stellate,6003,3488.439459,5946.542636,2203.3923,611.3091319,1796.369888,1510.448275
,,4054.431654,5098.102364,,,,
EC LII-III Pyramidal-Tripolar,6082,5771.82911,2339.456418,3287.388115,,,
,,1310.557626,2195.072355,2782.137887,,,
LEC LIII Multipolar Principal,6025,762.8947674,900.5360541,4965.311768,1056.756531,1131.162347,
,,,,4014.101421,975.7329334,1102.944511,
EC LIII Pyramidal,6017,,,1052.130105,717.5616606,826.8923009,587.0326677
,,1321.930068,1733.005002,3568.295028,,,
LEC LIII Complex-Pyramidal,6007,,884.8364877,2688.820066,1050.153026,1024.463073,
,,680.7903195,1227.368855,1876.808604,1803.714212,,
MEC LIII Complex Pyramidal,6006,1767.406056,1381.759955,2877.520892,815.6329117,,
,,767.6308429,,2659.834208,852.2779489,,
MEC LIII Bipolar Complex Pyramidal,6024,599.9955279,1295.490401,1950.559687,1432.203645,,
,,,832.2883117,2138.256783,,,
EC LIII Pyramidal-Stellate,6092,,,1109.044713,,,
,,977.7689084,649.6358308,3650.104927,1318.701321,,
EC LIII Stellate,6018,,,1120.316458,,,
,,988.1062774,1562.553334,993.5926519,,,
EC LIII-V Bipolar Pyramidal,6095,,,5499.529759,1242.156942,8132.825386,3906.163947
,,1066.520577,1047.049749,1429.458921,764.4636894,4944.178922,
EC LIV-V Pyramidal-Horizontal,6085,,,,,537.6366846,822.1400102
,,862.3858988,616.2418588,,996.7893122,3562.913295,
EC LIV-VI Deep Multipolar Principal,6086,,,,1369.988164,1655.662574,2127.920352
,,,,,1652.545,3022.055583,1813.322431
MEC LV Multipolar-Pyramidal,6033,,,5194.014037,931.5626045,3318.936728,954.8254555
,,,,,924.408584,3053.262966,
EC LV Deep Pyramidal,6021,,,,,1556.000464,919.7181744
,,743.8545287,1626.869767,,,4132.704109,1553.169445
MEC LV Pyramidal,6002,641.0995495,923.1618039,840.9894464,751.0846073,1522.13759,1216.947473
,,794.1734355,1370.860056,,,2951.55031,
MEC LV Superficial Pyramidal,6023,,582.7949133,872.9650682,525.5711515,625.4617568,
,,815.5373621,,802.0427381,587.4028229,1044.106535,
MEC LV-VI Pyramidal-Polymorphic,6052,,,,,,2766.663509
,,,,,,1421.349278,2450.712807
LEC LVI Multipolar-Pyramidal,6078,,,1222.388891,796.2285401,2053.757761,1500.573208
,,,,,,813.196213,3186.449807
EC LII Axo-Axonic,6048,,1253.044343,,,,
,,,672.9889203,,,,
MEC LII Basket,6096,,15794.4118,5199.509592,,,
,,,2430.565652,,,,
MEC LIII Superficial Multipolar Interneuron,6040,,6106.735894,30966.26558,,,
,,1092.555432,1424.184699,3528.925375,,,
MEC LIII Superficial Trilayered Interneuron,6038,15309.17374,9969.049916,962.9916683,,,
,,3353.062211,2662.361198,1657.283766,,,
EC LII Basket-Multipolar,6053,,18934.17391,,,,
,,2348.142911,5001.268125,,,,
